platform,confirmed,alert,score,batch
Windows,1,0,2,T1
IoT,1,1,4,T1
Linux,1,0,3,T1
Windows,1,0,2,T1
Windows,1,0,3,T1
Windows,1,1,5,T1
Windows,1,0,5,T1
Linux,1,0,2,T1
Windows,1,1,3,T1
Linux,1,0,1,T1
Windows,0,1,3,T1
IoT,0,1,5,T1
Linux,0,1,1,T1
Windows,0,0,1,T1
Windows,1,0,3,T1
Windows,1,0,4,T1
Windows,1,0,4,T1
Windows,1,0,2,T1
Windows,1,0,1,T1
Windows,0,0,3,T1
Windows,1,1,2,T1
Windows,0,1,4,T1
Windows,0,0,2,T1
Windows,1,0,4,T1
Windows,1,1,4,T1
Linux,1,0,4,T1
Windows,1,0,5,T1
Windows,1,1,4,T1
Windows,0,0,2,T1
Windows,1,0,5,T1
Windows,1,0,2,T1
Windows,0,0,2,T1
Windows,1,0,4,T1
IoT,0,1,3,T1
IoT,0,1,2,T1
Linux,1,0,5,T1
Windows,0,1,4,T1
Windows,0,0,2,T1
Windows,1,0,3,T1
Windows,1,0,3,T1
Windows,1,0,3,T1
Windows,0,0,3,T1
Windows,1,1,1,T1
IoT,1,1,5,T1
Windows,1,0,3,T1
Windows,0,0,5,T1
Windows,1,0,4,T1
Windows,1,0,3,T1
Windows,0,0,1,T1
Windows,1,0,4,T1
IoT,0,0,4,T1
Linux,1,0,3,T1
IoT,0,1,4,T1
Linux,1,1,2,T1
Windows,1,0,1,T1
IoT,0,1,5,T1
Windows,0,1,3,T1
Windows,1,0,2,T1
Windows,1,0,3,T1
Windows,1,0,2,T1
Windows,1,0,4,T1
Windows,0,1,2,T1
Linux,1,0,2,T1
Windows,0,0,3,T1
Windows,0,1,2,T1
Windows,0,0,1,T1
Windows,1,0,4,T1
Linux,1,1,2,T1
Windows,1,1,4,T1
IoT,0,1,5,T1
Linux,0,0,2,T1
Windows,1,0,2,T1
Windows,0,0,1,T1
Linux,0,1,3,T1
Linux,0,0,1,T1
Linux,0,1,2,T1
Linux,0,0,3,T1
Windows,0,0,2,T1
Windows,1,0,1,T1
Windows,0,0,2,T1
Linux,1,1,3,T1
Windows,1,1,4,T1
Windows,0,0,1,T1
Windows,1,0,4,T1
Windows,0,0,3,T1
Windows,1,0,2,T1
Linux,1,1,2,T1
Windows,1,1,3,T1
Linux,1,0,4,T1
Windows,0,0,3,T1
Windows,1,0,4,T1
Linux,1,1,3,T1
Linux,1,0,3,T1
Windows,0,1,5,T1
Linux,1,1,1,T1
Windows,0,1,4,T1
Windows,1,1,4,T1
Windows,1,0,2,T1
Windows,0,1,4,T1
Windows,1,0,4,T1
Windows,1,1,4,T1
Windows,0,1,1,T1
Windows,1,0,1,T1
Windows,0,0,3,T1
IoT,0,1,3,T1
Windows,1,0,2,T1
Windows,1,0,5,T1
Linux,1,0,3,T1
Windows,0,0,2,T1
Windows,0,0,3,T1
Windows,1,0,3,T1
Windows,1,0,3,T1
IoT,1,1,3,T1
Linux,0,0,3,T1
Windows,1,0,1,T1
Linux,0,1,2,T1
Linux,0,1,1,T1
Windows,0,1,3,T1
Linux,1,0,1,T1
Windows,0,0,3,T1
Linux,0,1,3,T1
Linux,1,0,4,T1
Windows,1,0,4,T1
Windows,0,0,4,T1
Windows,0,1,2,T1
Windows,1,0,2,T1
Linux,1,0,2,T1
Linux,1,0,2,T1
Windows,0,0,3,T1
Windows,0,1,2,T1
Windows,1,0,3,T1
Windows,1,0,4,T1
Windows,0,1,3,T1
Windows,0,0,3,T1
IoT,0,1,3,T1
Windows,0,1,2,T1
Windows,1,1,2,T1
Linux,0,0,3,T1
Windows,1,0,3,T1
IoT,0,1,1,T1
IoT,0,1,5,T1
Windows,0,1,2,T1
Windows,0,0,1,T1
Windows,1,0,4,T1
Windows,1,1,4,T1
